CategoryID,Segment name,Display,Gmail,Discovery,Search,Shopping,Video
80428,/Apparel & Accessories,YES,YES,YES,YES,NO,YES
80429,/Apparel & Accessories/Activewear,YES,YES,YES,YES,NO,YES
80557,/Apparel & Accessories/Activewear/Running Apparel,NO,NO,NO,YES,NO,YES
80558,/Apparel & Accessories/Activewear/Yoga Apparel,NO,NO,NO,YES,NO,YES
80949,/Apparel & Accessories/Backpacks,YES,YES,NO,NO,NO,NO
80430,/Apparel & Accessories/Costumes,YES,YES,YES,YES,NO,YES
80879,/Apparel & Accessories/Eyewear,YES,YES,NO,YES,NO,YES
80880,/Apparel & Accessories/Eyewear/Eyeglasses & Contact Lenses,NO,YES,NO,NO,NO,YES
80878,/Apparel & Accessories/Eyewear/Sunglasses,YES,YES,NO,YES,NO,YES
80431,/Apparel & Accessories/Formal Wear,YES,YES,YES,YES,NO,YES
80443,/Apparel & Accessories/Formal Wear/Bridal Wear,YES,YES,YES,YES,NO,YES
80444,/Apparel & Accessories/Formal Wear/Suits & Business Attire,YES,YES,YES,YES,NO,YES
80432,/Apparel & Accessories/Handbags,YES,YES,YES,YES,NO,YES
80940,/Apparel & Accessories/Hats,YES,YES,NO,NO,NO,NO
80433,/Apparel & Accessories/Jewelry & Watches,YES,YES,YES,YES,NO,YES
80445,/Apparel & Accessories/Jewelry & Watches/Fine Jewelry,YES,YES,YES,YES,NO,YES
80877,/Apparel & Accessories/Jewelry & Watches/Fine Jewelry/Necklaces,YES,YES,NO,YES,NO,YES
80447,/Apparel & Accessories/Jewelry & Watches/Watches,YES,YES,YES,YES,NO,YES
80446,/Apparel & Accessories/Jewelry & Watches/Wedding & Engagement Rings,YES,YES,YES,YES,NO,YES
80434,/Apparel & Accessories/Lingerie,YES,YES,YES,YES,NO,YES
80435,/Apparel & Accessories/Luggage,YES,YES,YES,YES,NO,YES
80436,/Apparel & Accessories/Men's Apparel,YES,YES,YES,YES,NO,YES
80438,/Apparel & Accessories/Outerwear,YES,YES,YES,YES,NO,YES
80937,/Apparel & Accessories/Pants,YES,YES,NO,NO,NO,NO
80938,/Apparel & Accessories/Shirts & Tops,YES,YES,NO,NO,NO,NO
80439,/Apparel & Accessories/Shoes,YES,YES,YES,YES,NO,YES
80448,/Apparel & Accessories/Shoes/Athletic Shoes,YES,YES,YES,YES,NO,YES
80449,/Apparel & Accessories/Shoes/Boots,YES,YES,YES,YES,NO,YES
80450,/Apparel & Accessories/Shoes/Dress Shoes,YES,YES,YES,YES,NO,YES
80881,/Apparel & Accessories/Socks,YES,YES,NO,YES,NO,YES
80440,/Apparel & Accessories/Swimwear,YES,YES,YES,YES,NO,YES
80882,/Apparel & Accessories/Underwear,YES,YES,NO,YES,NO,YES
80441,"/Apparel & Accessories/Wallets, Briefcases & Leather Goods",YES,YES,YES,YES,NO,YES
80442,/Apparel & Accessories/Women's Apparel,YES,YES,YES,YES,NO,YES
80874,/Arts & Crafts Supplies,YES,YES,NO,YES,NO,YES
80001,/Autos & Vehicles,YES,YES,YES,YES,NO,YES
